Date,Description,Montant,Categorie
15/11/2024,NETFLIX.COM,-13.49,Streaming
15/10/2024,NETFLIX.COM,-13.49,Streaming
15/09/2024,NETFLIX.COM,-13.49,Streaming
10/11/2024,SPOTIFY AB,-9.99,Musique
10/10/2024,SPOTIFY AB,-9.99,Musique
10/09/2024,SPOTIFY AB,-9.99,Musique
05/11/2024,AMAZON PRIME,-6.99,Shopping
05/10/2024,AMAZON PRIME,-6.99,Shopping
01/11/2024,SFR MOBILE,-35.00,Telecom
01/10/2024,SFR MOBILE,-35.00,Telecom
01/09/2024,SFR MOBILE,-35.00,Telecom
22/11/2024,DISNEY+ HOTSTAR,-8.99,Streaming
22/10/2024,DISNEY+ HOTSTAR,-8.99,Streaming
18/11/2024,OVH SAS,-9.99,Cloud
18/10/2024,OVH SAS,-9.99,Cloud
12/11/2024,MICROSOFT 365,-6.99,Logiciels
12/10/2024,MICROSOFT 365,-6.99,Logiciels
08/11/2024,BASIC FIT,-19.99,Sport
08/10/2024,BASIC FIT,-19.99,Sport
05/11/2024,VIR SALAIRE,2500.00,Revenus
20/11/2024,CARREFOUR,-78.50,Courses
22/11/2024,RESTAURANT LE BISTROT,-42.00,Loisirs
18/11/2024,STATION ESSENCE TOTAL,-65.00,Transport
14/11/2024,PHARMACIE,-25.30,Sante
